ann_id,Label,Start,End,Text,FileNo
T1,DISO,1,11,tumoración,1
T2,ANAT,17,33,polo superior de,1
T3,ANAT,27,40,teste derecho,1
T4,PROC,13,17,auto,1
T5,PROC,45,56,exploración,1
T6,PROC,41,49,consulta,1
T7,PROC,109,127,exploración física,1
T8,DISO,29,33,masa,1
T9,ANAT,33,37,epid,1
T10,ANAT,28,31,ídi,1
T11,ANAT,21,23,mo,1
T12,PROC,221,241,ecografía testicular,1
T13,DISO,253,274,lesión nodular sólida,1
T14,ANAT,378,407,cabeza de epid ídi mo derecho,1
T15,PROC,43,46,RMN,1
T16,DISO,181,193,masa nodular,1
T17,DISO,561,596,tumor adenoma to ide de epid ídi mo,1
T18,PROC,358,379,resección quiráºrgica,1
T19,DISO,325,343,tumoración nodular,1
T20,ANAT,457,481,cola epid ídi mo derecho,1
T21,PROC,41,43,or,1
T22,PROC,64,67,qui,1
T23,PROC,155,162,ectomía,1
T24,PROC,599,625,examen aná tomo patológico,1
T25,ANAT,409,426,pieza quiráºrgica,1
T26,DISO,426,443,formación nodular,1
T27,DISO,547,568,proliferación tumoral,1
T28,ANAT,298,309,estructuras,1
T29,ANAT,253,262,tubulares,1
T30,ANAT,204,211,celular,1
T31,ANAT,121,125,idad,1
T32,ANAT,249,257,náºcleos,1
T33,ANAT,257,265,citoplas,1
T34,ANAT,100,103,mas,1
T35,DISO,1191,1226,tumor adenoma to ide de epid ídi mo,1
T1,DISO,1,15,recién nacidos,2
T2,DISO,11,21,fallecidos,2
T3,PROC,37,55,examen necró psico,2
T4,ANAT,28,37,cadáveres,2
T5,PROC,33,41,remitido,2
T6,DISO,131,157,insuficiencia respiratoria,2
T7,DISO,109,127,Síndrome de Potter,2
T8,DISO,36,41,oligo,2
T9,DISO,25,28,amn,2
T10,DISO,28,31,ios,2
T11,PROC,151,166,cesárea urgente,2
T12,ANAT,67,73,nalgas,2
T13,PROC,157,170,test de Apgar,2
T14,DISO,105,113,falleció,2
T15,PROC,197,211,examen externo,2
T16,DISO,61,65,faci,2
T17,DISO,33,35,es,2
T18,DISO,86,91,hendi,2
T19,DISO,289,305,duras par brales,2
T20,DISO,96,101,micro,2
T21,DISO,61,64,gna,2
T22,DISO,64,67,tia,2
T23,ANAT,221,231,raiz nasal,2
T24,ANAT,47,49,oc,2
T25,ANAT,73,76,cip,2
T26,ANAT,26,27,u,2
T27,ANAT,79,82,cio,2
T28,ANAT,190,197,abdomen,2
T29,DISO,253,262,globuloso,2
T30,DISO,146,151,masas,2
T31,ANAT,391,404,fosas renales,2
T32,ANAT,342,353,hemiabdomen,2
T33,ANAT,65,67,es,2
T34,ANAT,298,307,cavidades,2
T35,DISO,443,456,masas renales,2
T36,ANAT,176,181,renal,2
T37,DISO,757,778,formaciones quísticas,2
T38,ANAT,223,229,seroso,2
T39,DISO,267,274,quistes,2
T40,ANAT,313,321,cortical,2
T41,ANAT,241,247,riá±ón,2
T42,ANAT,329,337,pulmones,2
T43,ANAT,547,560,diafragmática,2
T44,ANAT,345,353,riá±ones,2
T45,ANAT,309,316,órganos,2
T46,DISO,541,553,alteraciones,2
T47,DISO,737,753,compresión renal,2
T48,ANAT,377,385,riá±ones,2
T49,ANAT,961,981,vísceras abdominales,2
T50,DISO,344,351,comprim,2
T51,ANAT,451,460,diafragma,2
T52,PROC,970,989,estudio histológico,2
T53,ANAT,417,425,riá±ones,2
T54,DISO,372,379,quistes,2
T55,ANAT,433,441,cortical,2
T56,DISO,386,393,quistes,2
T57,ANAT,1569,1597,parénquima cor tic omed ular,2
T58,DISO,400,407,quistes,2
T59,ANAT,871,886,epitelio simple,2
T60,DISO,1004,1021,quistes medulares,2
T61,ANAT,481,489,epitelio,2
T62,ANAT,428,435,renales,2
T63,ANAT,373,379,hígado,2
T64,DISO,820,833,proliferación,2
T65,DISO,641,651,dilatación,2
T66,ANAT,196,199,duc,2
T67,ANAT,793,805,tos biliares,2
T68,ANAT,939,953,espacios porta,2
T1,DISO,1,9,alérgico,3
T2,CHEM,11,21,penicilina,3
T3,PROC,51,76,recambio valvular aórtico,3
T4,DISO,37,49,endocarditis,3
T5,DISO,53,66,masa pene ana,3
T6,PROC,91,109,exploración física,3
T7,DISO,175,204,formación exc rec ente y rada,3
T8,ANAT,43,49,glande,3
T9,ANAT,41,46,meato,3
T10,DISO,46,51,áreas,3
T11,DISO,101,111,ulcer adas,3
T12,DISO,78,85,fibrina,3
T13,DISO,133,144,adenopatías,3
T14,ANAT,248,267,regiones inguinales,3
T15,PROC,281,301,radiografía de tórax,3
T16,PROC,346,369,TAC abdomino - pélv ico,3
T17,DISO,561,596,adenopatías pulmonares e inguinales,3
T18,PROC,188,199,diagnóstico,3
T19,DISO,307,324,neoplasia de pene,3
T20,PROC,58,61,pen,3
T21,PROC,301,316,ectomía parcial,3
T22,PROC,400,419,anatomía patológica,3
T23,DISO,661,691,sarcoma ple om ór fico de pene,3
T24,DISO,323,337,diferenciación,3
T25,DISO,433,451,osteos arcoma tosa,3
T26,DISO,251,261,afectación,3
T27,PROC,287,298,tratamiento,3
T28,PROC,352,365,quimioterapia,3
T29,CHEM,57,59,ad,3
T30,CHEM,59,61,ri,3
T31,CHEM,211,218,amicina,3
T32,CHEM,32,33,i,3
T33,CHEM,289,298,fosfamida,3
T34,PROC,232,239,Ingresó,3
T35,DISO,851,876,recidiva local sangr ante,3
T36,DISO,701,721,obstrucción de meato,3
T37,DISO,901,926,insuficiencia renal aguda,3
T38,PROC,1037,1065,tratamiento con sueroterapia,3
T39,ANAT,191,196,renal,3
T40,DISO,313,321,falleció,3
T41,PROC,441,452,diagnóstico,3
T1,PROC,1,9,consultó,4
T2,DISO,19,37,síndrome miccional,4
T3,DISO,23,34,polaquiuria,4
T4,DISO,52,69,urgencia urinario,4
T5,PROC,41,51,urocultivo,4
T6,PROC,56,67,tratamiento,4
T7,CHEM,97,113,anticolinérgicos,4
T8,PROC,78,89,tratamiento,4
T9,PROC,25,28,cis,4
T10,PROC,73,81,tografía,4
T11,PROC,221,243,ecografía reno vesical,4
T12,DISO,364,397,imágenes quísticas para pi élicas,4
T13,ANAT,49,53,tabi,4
T14,ANAT,53,57,ques,4
T15,ANAT,85,91,vejiga,4
T16,DISO,121,129,lesiones,4
T17,DISO,113,120,quistes,4
T18,PROC,256,271,TAC - abdominal,4
T19,DISO,361,381,quiste para pi élico,4
T20,ANAT,115,121,riá±ón,4
T21,DISO,541,568,masa hipoden sa suprarrenal,4
T22,PROC,421,441,resonancia magnética,4
T23,ANAT,441,461,glándula suprarrenal,4
T24,DISO,346,361,lesión quística,4
T25,ANAT,337,351,riá±ón derecho,4
T26,ANAT,526,547,celda renal izquierda,4
T27,DISO,157,163,lesión,4
T28,DISO,109,113,linf,4
